IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
976989,HiGALFil317.1455+0.2483,5.7231000e+24,7.4838000e+20,20.7130,1.44928,1.25380,Herschel,SPIRE
976991,HiGALFil315.1255+0.2515,2.9800000e+24,5.4126000e+20,17.3920,2.77778,1.09410,Herschel,SPIRE
976997,HiGALFil312.6149+0.2587,1.4739000e+25,1.6470000e+21,18.5750,1.85185,1.16980,Herschel,SPIRE
977003,HiGALFil321.0175+0.2411,3.6349000e+24,1.1065000e+21,17.9050,1.47059,1.30370,Herschel,SPIRE
977015,HiGALFil313.3411+0.2585,7.7206000e+24,1.0020000e+21,18.1110,2.50000,1.15900,Herschel,SPIRE
977042,HiGALFil314.7797+0.2458,5.9688000e+24,8.9788000e+20,17.0580,1.56250,1.14530,Herschel,SPIRE
977049,HiGALFil320.4751+0.2630,4.5864000e+24,1.0554000e+21,18.7880,1.78571,1.17680,Herschel,SPIRE
977066,HiGALFil311.7778+0.2507,5.3492000e+24,1.5149000e+21,18.0460,1.78571,1.12920,Herschel,SPIRE
977070,HiGALFil321.5400+0.2650,4.2792000e+24,7.6281000e+20,16.8200,1.96078,1.22730,Herschel,SPIRE
977078,HiGALFil316.3071+0.2667,7.5723000e+24,5.0146000e+20,17.5940,1.16279,1.06930,Herschel,SPIRE
977082,HiGALFil313.5330+0.2599,7.0502000e+24,1.0632000e+21,17.3290,1.51515,1.23110,Herschel,SPIRE
977087,HiGALFil322.2770+0.2463,2.7550000e+24,4.2949000e+20,17.2570,2.17391,1.12010,Herschel,SPIRE
977095,HiGALFil314.8786+0.2524,5.7301000e+24,1.4387000e+21,17.1250,2.85714,1.20920,Herschel,SPIRE
977098,HiGALFil314.1839+0.2496,3.3983000e+24,4.4326000e+20,18.9220,1.78571,1.37141,Herschel,SPIRE
977105,HiGALFil309.3151+0.2613,2.3127000e+24,1.1761000e+20,18.4260,1.61290,1.03790,Herschel,SPIRE
977119,HiGALFil312.0921+0.2999,3.8138000e+25,8.0128000e+21,17.7360,1.38889,1.97260,Herschel,SPIRE
977122,HiGALFil322.3427+0.2551,2.0937000e+24,2.5342000e+20,17.3100,1.63934,1.06110,Herschel,SPIRE
