IDSTAR,NAMESTAR,GLON_ST,GLAT_ST,FLUX_ST,TYPE_ST
25074,HIGALPS005.3018-0.0211,5.3002710,-0.020967000,60.8708,PROTOSTELLAR
25085,HIGALPS005.3018-0.1761,5.3017700,-0.17604900,6.51363,PRESTELLAR
25089,HIGALPS005.3024-0.6496,5.3026900,-0.64938700,7.08986,PRESTELLAR
25094,HIGALPS005.3045-0.1582,5.3036060,-0.15753700,7.96988,PRESTELLAR
25099,HIGALPS005.3049-0.0099,5.3049070,-0.010007000,17.6418,PROTOSTELLAR
25119,HIGALPS005.3088+0.4384,5.3090870,0.43851200,3.01961,PRESTELLAR
25123,HIGALPS005.3095-0.6080,5.3094100,-0.60792300,5.05148,PRESTELLAR
25133,HIGALPS005.3106+0.0706,5.3104830,0.071450000,15.8710,PROTOSTELLAR
25137,HIGALPS005.3115-0.3534,5.3114550,-0.35331000,5.05339,UNBOUND
25140,HIGALPS005.3129+0.2921,5.3121640,0.29328000,6.91646,PRESTELLAR
25148,HIGALPS005.3134+0.0312,5.3131810,0.031568000,9.82989,PRESTELLAR
25152,HIGALPS005.3138-0.0734,5.3138020,-0.073795000,9.03321,PRESTELLAR
25155,HIGALPS005.3143-0.0374,5.3144770,-0.036172000,14.6122,PRESTELLAR
25160,HIGALPS005.3152-0.2841,5.3157160,-0.28301300,4.85484,PRESTELLAR
25164,HIGALPS005.3175+0.2233,5.3168020,0.22376800,6.99861,PRESTELLAR
25172,HIGALPS005.3184-0.3385,5.3180680,-0.33799600,7.52153,PRESTELLAR
25186,HIGALPS005.3215-0.5166,5.3215470,-0.51742500,10.2138,PRESTELLAR
25192,HIGALPS005.3224+0.4151,5.3226480,0.41397100,3.25639,UNBOUND
25193,HIGALPS005.3235+0.6959,5.3230470,0.69666200,2.36594,UNBOUND
25198,HIGALPS005.3235-0.4319,5.3238470,-0.43202900,14.5484,PRESTELLAR
25201,HIGALPS005.3240-0.2050,5.3241640,-0.20499800,6.04738,PRESTELLAR
25202,HIGALPS005.3247-0.8881,5.3241720,-0.88793000,2.72027,UNBOUND
25208,HIGALPS005.3253-0.3798,5.3245400,-0.37938400,10.8585,PRESTELLAR
25230,HIGALPS005.3301-0.0949,5.3307190,-0.095039000,16.5227,PRESTELLAR
25232,HIGALPS005.3318-0.5817,5.3311210,-0.58121400,4.93337,PRESTELLAR
25234,HIGALPS005.3322-0.4777,5.3316400,-0.47707700,4.75115,PRESTELLAR
25238,HIGALPS005.3319-0.5653,5.3327000,-0.56510900,9.15592,PRESTELLAR
25240,HIGALPS005.3335+0.2021,5.3334020,0.20222900,21.5224,PRESTELLAR
25251,HIGALPS005.3360-0.7552,5.3354180,-0.75607800,14.4393,PRESTELLAR
25254,HIGALPS005.3372-0.4727,5.3371750,-0.47264400,15.6066,PRESTELLAR
25258,HIGALPS005.3388+0.3989,5.3374820,0.39819400,6.01446,UNBOUND
25262,HIGALPS005.3397-0.8096,5.3385300,-0.80966900,7.19729,PRESTELLAR
25268,HIGALPS005.3396+0.2268,5.3395100,0.22686500,8.77089,PROTOSTELLAR
25293,HIGALPS005.3432+0.3194,5.3438880,0.31898800,6.47167,PRESTELLAR
25300,HIGALPS005.3456-0.7116,5.3450830,-0.71197100,4.96597,UNBOUND
25306,HIGALPS005.3467+0.0408,5.3463810,0.041868000,6.75819,PROTOSTELLAR
25310,HIGALPS005.3474+0.0309,5.3473770,0.031012000,7.88296,PRESTELLAR
25319,HIGALPS005.3500+0.3105,5.3503160,0.31026300,12.5757,PRESTELLAR
25320,HIGALPS005.3510-0.7734,5.3503190,-0.77372000,3.17219,UNBOUND
25324,HIGALPS005.3511+0.4098,5.3510240,0.40988300,7.55958,PRESTELLAR
